-68,-71,-74,13
-60,-73,-67,3296
-65,-78,-69,273
-68,-79,-74,14
-60,-73,-69,3297
-62,-78,-69,274
-68,-79,-67,15
-53,-73,-69,3298
-62,-72,-69,275
-62,-72,-67,276
-53,-79,-67,16
-53,-72,-69,3299
-51,-72,-67,277
-53,-74,-67,17
-53,-72,-69,3300
-51,-76,-67,278
-53,-74,-68,18
-51,-76,-69,279
-53,-72,-69,3301
-54,-74,-68,19
-53,-75,-69,3302
-53,-75,-74,3303
-56,-76,-69,280
-54,-75,-68,20
-54,-75,-74,3304
-56,-75,-69,281
-54,-75,-70,21
-54,-73,-74,3305
-56,-75,-75,282
-54,-73,-71,3306
-58,-75,-75,283
-54,-73,-71,3307
-58,-74,-75,284
-54,-75,-70,22
-54,-73,-71,3308
-58,-74,-70,285
-54,-75,-70,23
-54,-73,-78,3309
-52,-74,-70,286
-54,-75,-69,24
-55,-73,-78,3310
-52,-70,-70,287
-55,-75,-69,25
-55,-73,-78,3311
-52,-70,-68,288
-55,-72,-69,26
-55,-73,-72,3312
-52,-70,-68,289
-55,-72,-69,27
-54,-73,-72,3313
-52,-75,-68,290
-55,-72,-69,28
-54,-69,-72,3314
-52,-75,-69,291
-55,-71,-69,29
-54,-69,-68,3315
-58,-75,-69,292
-55,-71,-72,30
-51,-69,-68,3316
-58,-71,-69,293
-55,-71,-72,31
-51,-71,-68,3317
-58,-71,-74,294
-55,-70,-72,32
-51,-71,-71,3318
-54,-71,-74,295
-55,-70,-86,33
-54,-71,-74,296
-54,-70,-86,34
-50,-71,-71,3319
-54,-71,-73,297
-54,-69,-86,35
-50,-72,-71,3320
-54,-71,-73,298
-54,-69,-86,36
-50,-72,-67,3321
-54,-71,-73,299
-54,-69,-86,37
-49,-72,-67,3322
-54,-71,-75,300
-54,-73,-86,38
-54,-73,-69,39
-54,-73,-69,40
-49,-77,-67,3323
-51,-71,-75,301
-54,-79,-69,41
-49,-77,-67,3324
-51,-86,-75,302
-54,-79,-71,42
-48,-77,-67,3325
-51,-86,-77,303
-48,-79,-71,43
-48,-80,-67,3326
-51,-86,-77,304
-48,-75,-71,44
-51,-80,-77,305
-48,-75,-76,45
-51,-80,-84,306
-48,-80,-69,3327
-52,-75,-76,46
-47,-80,-84,307
-49,-80,-69,3328
-49,-89,-69,3329
-49,-89,-72,3330
-52,-76,-76,47
-47,-76,-84,308
-53,-89,-72,3331
-52,-76,-76,48
-47,-76,-72,309
-54,-76,-76,49
-53,-71,-72,3332
-54,-76,-72,310
-53,-71,-73,3333
-54,-75,-76,50
-54,-73,-72,311
-53,-71,-73,3334
-54,-75,-76,51
-54,-73,-71,312
-53,-72,-73,3335
-60,-75,-76,52
-62,-73,-71,313
-53,-72,-72,3336
-60,-68,-76,53
-62,-74,-71,314
-60,-68,-69,54
-59,-72,-72,3337
-62,-74,-69,315
-60,-68,-69,55
-59,-72,-72,3338
-58,-74,-69,316
-60,-68,-69,56
-59,-72,-72,3339
-58,-72,-69,317
-66,-72,-72,3340
-60,-68,-78,57
-58,-72,-77,318
-66,-75,-72,3341
-62,-68,-78,58
-66,-72,-77,319
-66,-75,-74,3342
-62,-72,-78,59
-66,-72,-77,320
-66,-72,-69,321
-66,-75,-74,3343
-62,-72,-78,60
-65,-72,-69,322
-66,-75,-74,3344
-65,-72,-78,61
-65,-73,-69,323
-66,-75,-68,3345
-65,-71,-78,62
-65,-73,-72,324
-65,-75,-68,3346
-65,-71,-74,63
-54,-73,-72,325
-65,-75,-68,3347
-53,-71,-74,64
-54,-76,-72,326
-65,-75,-74,3348
-53,-86,-74,65
-54,-76,-83,327
-54,-75,-74,3349
-53,-86,-76,66
-50,-76,-83,328
-54,-86,-76,67
-54,-78,-74,3350
-50,-77,-83,329
-54,-86,-76,68
-54,-78,-74,3351
-50,-77,-75,330
-54,-86,-86,69
-56,-78,-74,3352
-56,-77,-75,331
-56,-76,-74,3353
-56,-76,-75,332
-53,-86,-86,70
-56,-76,-75,333
-53,-78,-86,71
-56,-76,-74,3354
-56,-76,-75,334
-60,-76,-74,3355
-53,-78,-86,72
-56,-98,-75,335
-60,-76,-74,3356
-53,-78,-86,73
-56,-98,-74,336
-60,-76,-76,3357
-53,-73,-86,74
-78,-98,-74,337
-53,-73,-69,75
-78,-76,-76,3358
-78,-81,-74,338
-78,-76,-76,3359
-53,-73,-69,76
-78,-81,-74,339
-78,-76,-76,3360
-53,-73,-69,77
-62,-81,-74,340
-66,-76,-76,3361
-53,-73,-92,78
-62,-73,-74,341
